quantity_level,quantity_evidence,clutter_level,clutter_evidence,image_name
low,"Only one visually distinguishable object is present: a human figure wearing a shirt, discernible by faint illumination on the torso and arms.;The head and hands are largely indistinct due to extreme darkness; no other separate objects or parts are reliably perceivable.;The background is uniformly black with no visible texture, edges, or additional elements.",low,"The single figure occupies a central region with ample surrounding black space, resulting in low spatial density.;No overlapping or interleaved elements are visible; the figure is isolated and not occluded by other objects.;There is only one perceptual focal region (the illuminated torso), with no competing visual elements to disrupt grouping.",IS1/co1/IS_I_C01_D01.jpg
low,"A single person is the dominant visual element;Two clearly distinguishable glasses on the table (one held, one to the right);One visible wristwatch on the left wrist;No other discrete objects are perceptually separable against the black background",low,"All objects are spatially well-separated: person centered, glasses positioned apart on the table surface;No occlusion or overlap between the person, glasses, or watch;Large areas of uniform black background provide ample negative space;Visual grouping is straightforward: figure + two foreground objects with clear boundaries",IS1/co1/IS_I_C01_D06.jpg
low,"Only one clearly discernible figure (a person) is visible, with minimal additional elements: a faint outline of a glass-like object on the left and possibly arms/hands, but these are not fully separable due to extreme low light.;The rest of the image is near-uniform blackness; no other distinct objects or parts can be reliably perceived as separate visual entities.",low,"The single figure occupies a central region with large surrounding empty (black) space, indicating low spatial density.;No overlapping or interleaved objects are observable; the few discernible elements are spatially isolated and not competing for attention.;Perceptual grouping is trivial—there is essentially one dominant visual entity with no internal fragmentation or occlusion that impedes separation.",IS1/co1/IS_I_C01_D04.jpg
low,"A single person (head, torso, arms) is the dominant visual entity;Two glasses on the table (one held, one placed);One wristwatch on the left wrist;The dark background contains no discernible objects or texture — it is uniformly black and thus contributes no additional visual elements",low,"All objects are spatially separated: the person occupies the central region, the two glasses are positioned to left and right with clear gaps between them and the body;No occlusion or overlap among the visible objects — the hands hold one glass without obscuring other elements;The black background provides ample negative space, reducing spatial density;Only three foreground objects (person, two glasses, watch counted as part of arm/hand) are present and easily perceptually grouped",IS1/co1/IS_I_C01_D03.jpg
low,The image contains a single person as the primary subject.;Two clear glass objects (glasses of liquid) are visible on the table.;One wristwatch on the left wrist is discernible.;No other distinct visual objects or parts are present; the background is uniformly black and lacks texture or features.,low,"All objects are spatially separated: the person is centered, the two glasses are placed to the left and right with clear gaps between them and the subject.;No occlusion or overlap occurs among the visible elements.;The black background provides ample negative space, enhancing separation of foreground elements.;At a glance, the scene can be parsed into three clearly distinguishable entities (person, left glass, right glass) plus one small accessory (watch), with no competing focal points.",IS1/co1/IS_I_C01_D02.jpg
low,"A single person (head, torso, arms) is the dominant visual entity.;Two clear glasses on the table are distinguishable as separate objects.;One wristwatch on the left wrist is visible as a distinct object.;The table surface is present but not segmented into multiple objects; it functions as a continuous support plane.;No other discrete, separable objects are visible against the black background.",low,"All objects are spatially well-separated: the person occupies the central region, the two glasses are placed apart on the table, and the watch is localized on one wrist.;There is no occlusion or overlap between any of the identifiable objects.;Large areas of empty (black) background provide strong separation and reduce spatial density.;At a glance, the scene can be parsed into three main components: person, left glass, right glass—with the watch as a minor附属 element—without perceptual competition.",IS1/co1/IS_I_C01_D08.jpg
low,"A single person is the dominant visual element;Two transparent glasses on the table (one held, one to the right);One wristwatch on the left wrist;The dark background lacks distinguishable objects or texture;No other clearly separable objects are visible",low,"All objects are spatially well-separated: person centered, glasses placed apart on the table;No occlusion or overlap between objects; arms rest cleanly on surface, glasses do not intersect with body or each other;Large areas of empty (dark) background provide strong separation;Only three foreground objects (person, two glasses, watch counted as part of person’s arm), all clearly delineated",IS1/co1/IS_I_C01_D05.jpg
low,"A single person is the dominant visual element;Two clearly distinguishable glasses on the table (one held, one to the right);One visible wristwatch on the left wrist;No other discrete objects are perceptually separable against the black background",low,"All objects are spatially well-separated: person centered, glasses positioned apart on the table surface;No occlusion or overlap between the person, glasses, or watch;Large areas of uniform black background provide ample negative space;Only three foreground object groups (person, left glass + hand, right glass), each clearly bounded and non-interleaved",IS1/co1/IS_I_C01_D09.jpg
low,Only one clearly distinguishable figure (a person) is visible.;A single glass held in the hands is the only other discernible object.;The background is uniformly dark with no separable elements or textures treated as objects.,low,"The person and the glass are spatially separated from each other and from the background.;No overlapping or interleaving of objects; the glass is held in front but remains visually distinct.;There is ample empty (dark) space surrounding the figure, facilitating easy perceptual segregation.",IS1/co1/IS_I_C01_D07.jpg
low,"A single person is the dominant visual element.;Two clearly distinguishable glasses on the table (one held, one resting).;One wristwatch visible on the left wrist.;The dark background contains no discernible objects or texture—only uniform blackness.;Total visually separable entities: person, two glasses, watch → ≤5 distinct objects.",low,"All objects are spatially well-separated: the person occupies the central region, glasses are placed on the table with clear gaps between them and the body.;No occlusion or overlap between objects; each object has unambiguous boundaries against the black background.;High negative space (black background) surrounds all elements, facilitating easy perceptual segregation.;Only one primary focal region (the person’s face), with secondary elements positioned peripherally and non-competing.",IS1/co1/IS_I_C01_D10.jpg
low,"A single person is the dominant visual element.;Two transparent glasses are clearly distinguishable on the table.;One wristwatch on the left arm is visible.;The shirt, though textured, forms a single cohesive object; no separate buttons or collar details are visually distinct enough to count as independent objects under coarse estimation.;No other discrete objects are present against the black background.",low,"All objects are spatially well-separated: the person occupies the central region, the two glasses are placed apart on the table, and the watch is localized on the wrist.;No occlusion or overlap between objects—each is fully visible and perceptually isolatable.;Large areas of empty (black) background provide strong separation, reducing spatial density.;Only one primary focal point (the person’s face/upper torso), with secondary elements clearly subordinate and non-competing.",IS1/co1/IS_I_C01_D11.jpg
low,A single person is the dominant visual element;Two clearly distinguishable glasses on the table;One visible wristwatch on the left arm;No other discrete objects are visually separable against the black background,low,"The person, two glasses, and watch are spatially well-separated with large dark voids between them;No occlusion or overlap among the visible objects;The black background provides high negative space, allowing each object to be easily isolated perceptually;Only one primary focal region (the person’s face and upper torso), with secondary elements positioned peripherally without competing for attention",IS1/co1/IS_I_C01_D12.jpg
low,"A single person is the dominant visual element;Two transparent glasses on the table (one held, one resting);One wristwatch on the left wrist;The table surface is visible but not segmented into distinct objects;No other clearly separable objects are present against the black background",low,"All objects are spatially well-separated: person centered, glasses placed apart on the table;No occlusion or overlap between objects; each object has clear boundaries and surrounding negative space;The black background provides high contrast and isolates each element visually;Only three foreground objects (person, two glasses, watch — but watch is attached to person), and they occupy distinct regions without crowding",IS1/co1/IS_I_C01_D13.jpg
low,"A single person (head, torso, arms) is the dominant visual entity.;Two clear glasses on the table (one held, one resting).;One wristwatch on the left wrist.;The black background is uniform and lacks distinguishable objects or texture.;No other discrete objects are visually separable; clothing folds and hair are parts of the person, not independent objects.",low,"All objects are spatially well-separated: the person occupies the central region, glasses are placed on either side with visible negative space around them.;No occlusion or overlap between distinct objects (e.g., hands grip but do not obscure the glass; watch is clearly visible on wrist).;The black background provides high contrast and ample empty space, reducing spatial density.;Only three discrete non-person objects (2 glasses + 1 watch), all positioned with clear separation and minimal interference in perceptual grouping.",IS1/co1/IS_I_C01_D14.jpg
medium,"A person (1), a green armchair with multiple pillows (at least 4 distinct pillow surfaces), a wine glass (1), a wine bottle (1), a fruit bowl with 3–4 visible fruits (orange, apple, banana, grapes), a newspaper (1), a small side table (1), a wooden shelf unit (1), books on shelf (≈8–10 spines distinguishable), candles and holder (3 items: red cup, purple candle, blue candle + tray), a potted yucca plant (1), a framed artwork (1), and a leaf-patterned curtain (1 background element treated as single visual entity). Total visually separable objects ≈25–30, which is moderate—not sparse, not densely packed.",medium,"Objects are distributed across foreground, midground, and background without severe occlusion, but spatial density is noticeable: the shelf holds tightly arranged books and objects; the armchair has overlapping pillows; the side table contains bottle, newspaper, and bowl in close proximity. However, most objects retain clear boundaries and are not heavily interleaved—e.g., the person is clearly separated from the shelf, and the plant stands apart. No extreme overlap or visual merging; perceptual grouping is feasible at a glance, but requires some effort due to moderate density in localized zones (shelf, sofa area).",IS1/co2/IS_I_C02_D01.jpg
medium,"A person (1), a green armchair with multiple pillows (at least 4 distinct pillow shapes/colors), a wine glass (1), a bottle (1), a fruit bowl with ~5 visible fruits, a newspaper (1), a small shelf holding ~10 books, a red bowl, two candles on a tray, a potted plant (1 large yucca + 1 smaller succulent), and a framed artwork (1). Total visually distinguishable objects ≈ 25–30, which is moderate—not sparse, but not densely packed.",medium,"Objects are spatially distributed across foreground, midground, and background without severe overlap, but several regions show moderate density: the shelf has tightly arranged books and decor; the coffee table holds bottle, bowl, and paper in close proximity; the sofa area combines person, glass, and multiple pillows with partial occlusion (e.g., hand gripping glass partially hides stem, pillows abut each other). No extreme crowding or visual fusion, but perceptual separation requires slight effort due to proximity and interleaving in localized zones.",IS1/co2/IS_I_C02_D04.jpg
medium,"A person (1), a sofa with at least 4 distinct pillows (red, blue, lime green, and another green), a wine glass (1), a bottle of wine (1), a fruit bowl with multiple fruits (banana, orange, apple, grapes — visually separable as 4+ items), a newspaper (1), a small table (1), a wooden shelf unit (1), books on the shelf (≈10–12 spines visible as separate objects), three candles on a tray (3), a potted plant (1), a framed artwork (1), and a curtain with leaf pattern (treated as 1 background element, not counted as multiple due to being a continuous pattern). Total distinguishable objects ≈25–30, which is moderate—not sparse, but not densely packed.",medium,"Objects are spatially distributed across distinct zones (left shelf/table area, center person/sofa, right curtain), reducing overall overlap. However, the left side shows moderate density: books tightly aligned on shelves, fruit bowl overlapping with bottle and newspaper on the table, and candles close to the bowl—creating localized occlusion and visual competition. The sofa area has multiple pillows tightly arranged, slightly interleaved, and the person’s arm partially obscures the hoodie text. No severe occlusion or chaotic layering, but not fully separated either—some grouping difficulty at a glance in the left third of the image.",IS1/co2/IS_I_C02_D02.jpg
medium,"A person (1), a sofa with multiple pillows (at least 4 distinct pillow shapes/colors), a wine glass (1), a bottle (1), a fruit bowl with several fruits (≥5 items), a small table with a newspaper (1+), a bookshelf with ~10 visible books/spines, two candles and a bowl on the shelf (3), a potted plant (1), a framed picture (1), and a leaf-patterned curtain (treated as background texture, not counted as objects). Total distinguishable foreground/midground objects ≈ 20–25, which is moderate—not sparse, but not densely packed.",medium,"Objects are distributed across distinct zones (left shelf, center table, right sofa), reducing overlap; however, the bookshelf has tightly arranged books and decorative items, the sofa has overlapping pillows and the person’s limbs partially occluding the glass and lap, and the foreground table combines bottle, newspaper, and bowl in close proximity. There is no severe occlusion or visual merging, but spatial density in localized regions (e.g., shelf, sofa seating area) creates moderate difficulty in rapid perceptual segmentation.",IS1/co2/IS_I_C02_D05.jpg
medium,"A person (1), a sofa with at least 4 distinct pillows (2–5), a wine glass (6), a wine bottle (7), a fruit bowl with 3+ visible fruits (8–10), a newspaper (11), a small side table (12), a wooden shelf unit (13), books on the shelf (~8–10 distinguishable spines, counted as multiple objects) (14–23), two candles and a dish (24–26), a red bowl (27), a potted plant with trunk and leaves (28), a second smaller plant (29), a framed artwork (30), and a leaf-patterned curtain (31 — treated as one visual object despite pattern due to unified texture/region). Total visually separable entities: ~25–30, which is moderate—not sparse, but not densely packed.",medium,"Objects are distributed across distinct zones (left shelf, center table, right sofa, background wall), reducing overlap; however, the shelf contains tightly arranged books and items, the coffee table holds multiple overlapping objects (bottle, newspaper, bowl), and the sofa area has several pillows and the person partially occluding some elements. The curtain pattern adds visual texture but does not increase object count; still, the foreground/midground contains competing focal points (person, wine glass, fruit bowl, newspaper), requiring slight effort to parse spatial relationships. No severe occlusion, but not fully separated either.",IS1/co2/IS_I_C02_D03.jpg
medium,"A person seated on a sofa (1 distinct figure);Multiple books on a shelf (visually distinguishable spines, ~10–15 items);A bowl with fruit (apple, orange, banana, grapes — ~4–5 distinct items within one container);A wine bottle and a newspaper on a side table (2 distinct objects);Two candles and a red cup on a tray (3 distinct items);A potted plant with trunk and leaves (1 main plant object, though leaves are numerous, they form a coherent visual unit);Three pillows on the sofa (green, blue, red — 3 distinct objects);A framed picture on the wall (1 object);A curtain with leaf pattern (treated as 1 background surface, not counted as multiple objects per definition)",medium,"Objects are distributed across multiple zones (shelf, table, sofa, wall), but several areas show moderate spatial density: the bookshelf is tightly packed with books, the side table holds bottle, newspaper, and bowl in close proximity;Some occlusion occurs: the person’s arm partially covers the green pillow; the wine glass overlaps the lap area; fruit in the bowl overlaps each other;No extreme crowding or complete visual fusion, but perceptual separation requires effort in denser regions (e.g., distinguishing individual book spines or fruit pieces);The scene has multiple competing focal points (person, plant, bookshelf, side table), yet each remains reasonably separable at a glance",IS1/co2/IS_I_C02_D06.jpg
